Species,Common name,Family,Functional Group
Abudefduf abdominalis,Hawaiian sergeant,Damselfish,Planktivore
Abudefduf sordidus,Blackspot sergeant,Damselfish,Secondary consumer
Acanthurus  guttatus,White spotted surgeonfish,Surgeonfish,Grazer
Acanthurus achilles,Achilles tang,Surgeonfish,Grazer
Acanthurus blochii,Ringtail surgeonfish,Surgeonfish,Grazer
Acanthurus dussumieri,Eyestripe surgeon,Surgeonfish,Grazer
Acanthurus leucopareius,Whitebar surgeonfish,Surgeonfish,Grazer
Acanthurus nigricans,Goldrim surgeonfish,Surgeonfish,Grazer
Acanthurus nigroris,Blueline surgeonfish,Surgeonfish,Grazer
Acanthurus nigrofuscus,Lavender/brown tang,Surgeonfish,Grazer
Acanthurus olivaceus,Orangeshoulder tang,Surgeonfish,Grazer
Acanthurus thompsoni,Thompson's surgeonfish,Surgeonfish,Planktivore
Acanthurus triostegus,Convict tang,Surgeonfish,Grazer
Acanthurus xanthopterus,Yellowfin surgeonfish,Surgeonfish,Grazer
Aetobatus ocellatus,Spotted eagle ray,Ray,Secondary consumer
Aluterus scriptus,Scrawled filefish,Filefish,Secondary consumer
Aphareus furca,Forktail snapper,Snapper,Predator
Aprion virescens,Grey snapper,Snapper,Predator
Arothron hispidus,Stripebelly puffer,Puffer,Secondary consumer
Arothron meleagris,Spotted puffer,Puffer,Corallivore
Aulostomus chinensis,Trumpetfish,Trumpetfish,Predator
Bodianus albotaeniatus,Hawaiian hogfish,Wrasse,Secondary consumer
Calotomus carolinus,Stareye parrotfish,Parrotfish,Browser
Cantherhines dumerilii,Barred filefish,Filefish,Corallivore
Canthigaster amboinensis,Ambon toby,Toby,Secondary consumer
Canthigaster coronata,Crown toby,Toby,Secondary consumer
Canthigaster jactator,Whitespotted toby,Toby,Secondary consumer
Caranx melampygus,Bluefin trevally,Jack,Predator
Centropyge loriculus,Flame angelfish,Angelfish,Secondary consumer
Centropyge potteri,Potter's angelfish,Angelfish,Secondary consumer
Cephalopholis argus,Peacock (Roi) grouper,Grouper,Predator
Chaetodon auriga,Threadfin butterflyfish,Butterflyfish,Secondary consumer
Chaetodon ephippium,Saddleback butterflyfish,Butterflyfish,Secondary consumer
Chaetodon fremblii,Bluestripe butterflyfish,Butterflyfish,Secondary consumer
Chaetodon lineolatus,Lined butterfly,Butterflyfish,Secondary consumer
Chaetodon lunula,Raccoon butterflyfish,Butterflyfish,Secondary consumer
Chaetodon lunulatus,Oval butterflyfish,Butterflyfish,Secondary consumer
Chaetodon miliaris,Milletseed butterflyfish,Butterflyfish,Planktivore
Chaetodon multicinctus,Multiband butterflyfish,Butterflyfish,Corallivore
Chaetodon ornatissimus,Ornate butterflyfish,Butterflyfish,Corallivore
Chaetodon quadrimaculatus,Fourspot butterflyfish,Butterflyfish,Corallivore
Chaetodon reticulatus,Reticulated butterflyfish,Butterflyfish,Secondary consumer
Chaetodon unimaculatus,Teardrop butterflyfish,Butterflyfish,Corallivore
Chlorurus perspicillatus,Spectacled parrotfish,Parrotfish,Scraper
Chlorurus spilurus,Bullethead parrotfish,Parrotfish,Scraper
Chromis agilis,Agile chromis,Damselfish,Planktivore
Chromis hanui,Chocolate dip chromis,Damselfish,Planktivore
Chromis ovalis,Oval chromis,Damselfish,Planktivore
Chromis vanderbilti,Blackfin chromis,Damselfish,Planktivore
Chromis verater,Three spot chromis,Damselfish,Planktivore
Cirrhilabrus jordani,Flame wrasse,Wrasse,Secondary consumer
Coris gaimard,Yellowtail coris,Wrasse,Secondary consumer
Coris venusta,Elegant coris,Wrasse,Secondary consumer
Ctenochaetus hawaiiensis,Black kole or black surgeonfish,Surgeonfish,Secondary consumer
Ctenochaetus strigosus,Kole tang,Surgeonfish,Secondary consumer
Dascyllus albisella,Hawaiian dascyllus,Damselfish,Planktivore
Decapterus macarellus,Mackerel scad,Jack,Planktivore
Diodon holocanthus,Longspine Porcupinefish,Porcupinefish,Secondary consumer
Diodon hystrix,Giant Porcupinefish,Porcupinefish,Secondary consumer
Elagatis bipinnulata,Rainbow runner,Jack,Predator
Fistularia commersonii,Bluespotted cornetfish,Cornetfish,Predator
Forcipiger flavissimus,Common longnose butterflyfish,Butterflyfish,Secondary consumer
Gomphosus varius,Bird nose wrasse,Wrasse,Secondary consumer
Gymnothorax meleagris,Whitemouth moray,Moray,Predator
Halichoeres ornatissimus,Ornate wrasse,Wrasse,Secondary consumer
Hemitaurichthys polylepis,Pyramid butterfly,Butterflyfish,Planktivore
Hemitaurichthys thompsoni,Thompson's Butterflyfish,Butterflyfish,Planktivore
Kyphosus  spp,Chub or Rudderfish,Chub,Browser
Kyphosus sandwicensis,Gray Chub,Chub,Browser
Labroides phthirophagus,Hawaiian cleaner wrasse,Wrasse,Secondary consumer
Lutjanus fulvus,Blacktailed snapper,Snapper,Secondary consumer
Lutjanus kasmira,Bluestripe snapper,Snapper,Secondary consumer
Macropharyngodon geoffroy,Shortnose wrasse,Wrasse,Secondary consumer
Malacanthus brevirostris,Flagtail tilefish,Filefish,Secondary consumer
Melichthys niger,Black triggerfish,Triggerfish,Secondary consumer
Melichthys vidua,Pinktail triggerfish,Triggerfish,Secondary consumer
Monotaxis grandoculis,Big eye emperor or Mu,Emperor,Secondary consumer
Mulloidichthys flavolineatus,Yellowstripe goatfish,Goatfish,Secondary consumer
Mulloidichthys vanicolensis,Yellowfin goatfish,Goatfish,Secondary consumer
Myripristis kuntee,Pearly soldierfish,Soldierfish,Planktivore
Myripristis sp.,Soldier fish,Soldierfish,Planktivore
Naso hexacanthus,Sleek unicornfish,Surgeonfish,Planktivore
Naso lituratus,Orangespine unicornfish,Surgeonfish,Browser
Naso unicornis,Bluespine unicornfish,Surgeonfish,Browser
Neoniphon aurolineatus,Goldline squirrelfish,Squirrelfish,Secondary consumer
Neoniphon summara,Spot fin squirrelfish,Squirrelfish,Secondary consumer
Novaculichthys taeniourus,Rockmover wrasse,Wrasse,Secondary consumer
Ostracion meleagris,Box fish,Boxfish,Secondary consumer
Oxycheilinus unifasciatus,Ringtail wrasse,Wrasse,Predator
Paracirrhites arcatus,Arc-eye hawkfish,Hawkfish,Secondary consumer
Paracirrhites forsteri,Blackside (Forsteri) hawkfish,Hawkfish,Secondary consumer
Parupeneus bifasciatus,Doublebar goatfish,Goatfish,Secondary consumer
Parupeneus cyclostomus,Blue goatfish,Goatfish,Secondary consumer
Parupeneus multifasciatus,Manybar goatfish,Goatfish,Secondary consumer
Parupeneus pleurostigma,Sidespot goatfish,Goatfish,Secondary consumer
Pervagor aspricaudus,Yellowtail filefish,Filefish,Secondary consumer
Pervagor spilosoma,Hawaiian fantail filefish,Filefish,Secondary consumer
Plectroglyphidodon johnstonianus,Blue eyed damsel,Damselfish,Corallivore
Plectroplyphidodon imparipennis,Bright eyed damsel,Damselfish,Secondary consumer
Pseudocheilinus evanidus,Disappearing wrasse,Wrasse,Secondary consumer
Pseudocheilinus octotaenia,Eightline wrasse,Wrasse,Secondary consumer
Rhinecanthus aculeatus,Lagoon triggerfish,Triggerfish,Secondary consumer
Rhinecanthus rectangulus,Wedgetail triggerfish,Triggerfish,Secondary consumer
Sargocentron sp.,Squirrelfish,Squirrelfish,Secondary consumer
Scarus dubius,Regal parrotfish,Parrotfish,Scraper
Scarus psittacus,Palenose parrotfish,Parrotfish,Scraper
Scarus rubroviolaceus,Ember (Redlip) parrotfish,Parrotfish,Scraper
Seriola dumerili,Amber jack,Jack,Predator
Stegastes marginatus,Hawaiian (Pacific) gregory,Damselfish,Grazer
Stethojulis balteata,Belted wrasse,Wrasse,Secondary consumer
Sufflamen fraenatus,Bridled triggerfish,Triggerfish,Secondary consumer
Sufflamen bursa,Lei triggerfish,Triggerfish,Secondary consumer
Synodus sp.,Lizardfish,Lizardfish,Predator
Thalassoma duperrey,Saddle wrasse,Wrasse,Secondary consumer
Thalassoma purpureum,Surge wrasse,Wrasse,Secondary consumer
Triaenodon obesus,Whitetip reef shark,Shark,Predator
Zanclus cornutus,Moorish Idol,Moorish Idol,Secondary consumer
Zebrasoma flavescens,Yellow tang,Surgeonfish,Grazer
Zebrasoma veliferum,Sailfin tang,Surgeonfish,Grazer
